name,folder,img,magnitude,nonVariant,type,traits,description
Neutralise Magic,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Instant,"<p>This spell allows a caster to neutralise other spells. Neutralise Magic will
eliminate a combined magnitude of spells equal to its own magnitude, starting
with the most powerful affecting the target. If it fails to eliminate the most
powerful spell, then it will instead target the second-most powerful spell. As
soon as Neutralise Magic can no longer dismiss a target’s spells, because all
the remaining spell’s magnitudes are too high, its effects immediately end.</p>
<p>Neutralise Magic can be fired as a Reaction, but only when another spell that
the character wishes to counter is cast within Neutralise Magic’s range. A
successful Neutralise Magic disrupts the other spell and nullifies it. As long
as Neutralise Magic’s magnitude equals or exceeds the target spell’s magnitude,
the target spell is countered.</p>"
Other World Portal (Other World),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This spell creates a portal to a named Other World. The magnitude of the
spell is the number of creatures (of SIZ range 12-18) who can use the portal
simultaneously.  The portal exists as long as the spell is in effect. When the
spell’s duration is reached, the portal closes instantly.</p> <p>If the spell
casting is fumbled, catastrophic events occur.  Here are some example events.
The creative Referee is encouraged to create more.</p> <p>A malignant creature
from that Other World emerges and attacks the sorcerer in an attempt to close
the portal.</p> <p>The sorcerer and all within 10m of them are sucked through
the portal, which then promptly closes. Worse, the Sorcerer is so befuddled that
they cannot remember this spell for D20+D4 hours.</p> <p>The Other World, to
which the portal is connected, invades the home reality in a 1D10 km diameter
from the portal. The home reality protects itself by throwing up a magical
barrier that lets things into the beachhead but not out.</p>"
Palsy,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Resist (Resilience),"<p>If the caster is able to overcome their Target with this spell, they can turn
the victim’s own nervous system against them. The spell will paralyse the
target, provided the spell’s magnitude is greater than quarter of the target’s
current hit points.</p>"
Poison Antidote,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This spell counteracts an antidote to any poison. For the duration of the
spell, it reduces any poison’s potency by its magnitude X 5. This is for the
chance to resist the poison initially. If that resistance test is failed, it
still reduces the poison’s effective potency by its magnitude X 5.   If cast on
a person who is already affected by a poison, they get another chance to resist
the poison.</p>"
Protective Sphere,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>When completed, the Protective Sphere will create a sphere-shaped area of
protection with a radius in metres equal to the spell’s magnitude. If this spell
is cast on the ground (or another immovable place), it cannot be moved. If cast
on a vehicle (such as the bed of a wagon) or a person, it will move with the
target.  After the sphere has been completed any one or all of the following
spells can be added to provide the defensive capacities of the Sphere during the
duration of the Sphere. The Sphere on its own provides no protection, that is
down to the Resistance spells.</p> <p>Damage Resistance, Spell Resistance,
Spirit Resistance.</p> <p>The Protective Sphere’s perimeter contains the
benefits of its combined Resistance spell(s). The Protective Sphere only
inhibits spells or attacks entering the circle from the outside – attacks or
spells originating within the circle are unaffected. Thus, a Protective Sphere
against spirits would block out outside spirits but have no effect on those
already inside its perimeter.  A Protective Sphere against damage or spells
would block out incoming attacks/spells but have no effect on attacks made
within the sphere (including attacks targeting those outside the sphere).</p>"
Remove Disease,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This spell purges the recipient of any disease that is currently afflicting
them. Make an opposed roll of the spell’s magnitude vs. the disease’s potency.
If successful the character is restored to full health, any penalties to
characteristics are removed and any hit points lost to the effects of the
disease are regained.</p>"
(Sense) Projection,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Concentration,"<p>Each (Sense) Projection spell is a separate spell. These spells encompass the
five base senses, but there are also variants for any unusual sensory mechanisms
appropriate to the game world (such as sonar).</p> <p>This spell allows the
caster to project one of their senses anywhere within the spell’s range. The
spell forms an invisible and intangible sensor, some ten centimetres across,
which receives the specified type of sensory input and transmits it to the
caster. The sensor can move metres per combat round equal to the spell’s
magnitude, directed by the sorcerer, and allows the sorcerer to use their
Perception skill through the sensor.</p> <p>Spells can be cast through the
sensor of some Projection spells. For instance, ranged spells require Sight
Projection, while touch spells require Touch Projection (and likely Sight
Projection too, so the Sorcerer can find their target efficiently).</p>
<p>Characters using Mystic Vision can see the sensor and attack it if they wish,
though it is only vulnerable to magic. Magical weapons and spells employed
against the sensor will not destroy it but will instead transfer their damage
directly to the caster.</p>"
Sense (Substance),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Concentration,"<p>Eminently useful for finding valuables from afar, this spell has a variation
for every substance imaginable. Sense (Substance) will cause all sources of the
substance within range of the spell to glow an appropriate colour, visible only
to the caster – diamonds will gleam like ice, amber will shine like a camp-fire
and so on. Each point of this spell’s magnitude allows it to penetrate one metre
of rock, wood or dirt. If the source is concealed behind such a material, the
surface nearest the caster will glow for a moment. The spell cannot penetrate
refined metal, though it can penetrate ore.</p>"
Shapechange (Species) to (Species),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Resist (Resilience), Touch","<p>Each Shapechange spell is a separate spell. Of all the spells with multiple
variations, the Shapechange spell has the most, comprising a new spell for
almost every combination of creatures imaginable. The spell only works on living
things – the dead or inanimate cannot be shape changed.</p> <p>The magnitude of
the spell must be equal to or greater than the average SIZ of both specified
species. Thus, changing a mouse (SIZ 1) into a newt (also SIZ 1) is magnitude 1.
Changing a mouse into a lion (SIZ 19) is magnitude 10.</p> <p>If the spell is
successful, the target will be biologically changed, gaining the STR, DEX, CON
and SIZ of its new form. Its INT, POW and CHA are unchanged, and the target
retains its memories and abilities (though it may be unable to use some of those
abilities in its new form).</p>"
Skin of Life,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Touch,"<p>This spell protects the recipient from suffocation by air deprivation, due to
such factors as drowning or the Smother spell. Each point of magnitude will
cover three points of SIZ – thus a magnitude 4 Skin of Life spell would sustain
a SIZ 12 creature.</p>"
Smother,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Concentration, Resist (Resilience Special)","<p>If successful, this spell neutralises the air surrounding the target, making
each breath stale and worthless, depriving it of oxygen. The caster must
concentrate each round, in order to keep the spell operating. For the duration
of the spell, the target will be unable to breathe, essentially drowning on dry
land.</p> <p>When the spell begins, the target’s Resilience test determines
whether it is able to gasp in one last breath before Smother cuts off the
surrounding oxygen supply. If the target succeeds, it may hold its breath as
normal. If it fails, it will start drowning in the next combat round.</p>
<p>This spell can also be used to extinguish fires, as the flames will be
starved of oxygen. At magnitude 1, it can extinguish a Flame, magnitude 2 a
Large Flame, magnitude 4 a Small Fire, magnitude 7 a Large Fire and magnitude 10
it will put out an Inferno. Smother has no effect on magical fire or on
fire-based creatures.</p>"
Spell Resistance,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This spell matches its magnitude against the magnitude of any incoming spell.
If Spell Resistance’s magnitude is greater than the incoming spell’s, then the
incoming spell has no effect. If the incoming spell’s magnitude is equal to or
greater than the magnitude of Spell Resistance, then the spell affects the
target normally.</p> <p>Unlike many protective spells, Spell Resistance remains
in place for the entirety of its duration – spells that successfully breach the
spell do not dispel it. However, it does not discriminate between incoming
spells – a comrade attempting to magically heal the recipient of Spell
Resistance must overcome it in order to successfully use a healing spell.</p>"
Spirit Resistance,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This spell matches its magnitude against the POW of any spirit that comes
into contact with the recipient. If the recipient of the caster’s  POW  the
Spirit Resistance’s magnitude is greater than the spirit’s POW, the spirit
cannot touch the recipient.</p> <p>A spirit unable to touch a recipient will not
be able to attack or directly harm them, including through ranged attacks. A
spell cast by a spirit at the recipient is blocked unless its magnitude exceeds
the Spirit Resistance’s magnitude.</p>"
Summon (Other World creature),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Resist (Persistence),"<p>This spell allows the sorcerer to summon one Other World creature, per
casting, to the mundane world. The creature is not automatically under the
sorcerer’s control. If the summoned creature succeeds its Persistence test, it
is free of the sorcerer’s command and, if so inclined, may be hostile to the
sorcerer. Otherwise, it acts as if under the influence of a Dominate spell, for
the duration of the spell.  The duration of the summon spell also determines how
long the creature is trapped in the Mundane World.</p> <p>Example Other World
creatures: Demons, Elementals, Spirits and Undead.</p>"
Tap (characteristic),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Concentration, Resist (Persistence), Touch","<p>There are actually seven Tap spells, one for each characteristic. These
devastating spells allow the caster to permanently strip a target of
characteristic points, transforming them into magic points for their own
use.</p> <p>The caster must make contact with the target, either physically or
through Touch Projection, in order to Tap it – therefore the spell cannot be
used on incorporeal creatures, such as spirits.</p> <p>Tap will only work if its
magnitude is equal to, or greater than, the target’s specified characteristic.
Thus, a magnitude 6 Tap Strength spell would only work on targets with a STR of
6 or lower.</p> <p>The number of points Tapped by the spell is equal to 1D6 per
combat round the spell is applied to the victim.</p> <p>Characteristic points
lost to Tap are lost permanently, though the victim can raise them again through
the normal means of increasing a characteristic. Characteristics may be tapped
to 0, which usually involves the death of the victim (the exception being
Charisma).</p> <p>For each characteristic point the sorcerer Taps, they will
gain one magic point. The sorcerer is limited in the number of magic points they
can gain through Tap; the spell can only increase their magic points to double
their normal limit. A sorcerer may simply Tap a target and dissipate any gained
magic points.</p> <p>If the sorcerer gains more magic points through Tap than
their normal maximum, the points will disappear at the rate of one magic point
per minute once the spell finishes.</p>"
Teleport,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Instant, Resist (Dodge)","<p>Teleport allows a sorcerer to move their self or a target, instantaneously,
to anywhere within the range of the spell, as long as the destination can be
directly observed (Sense Projection spells allow the Caster to ‘see’ locations
beyond the physical line of sight), there is solid footing, and no objects bar
their arrival. If these conditions are not met, the spell automatically fails.
The caster is able to teleport objects up to 3 points of SIZ per point of
magnitude.</p>"
Time Travel (Time Period),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Instant,"<p>This spell transports the caster and creatures (of SIZ 12-18) equal to the
magnitude of the spell to a named time era via a time tunnel that opens up and
instantly sucks them through to their destination.  The duration of the spell is
the time that the caster and group jump forward or backwards through time.</p>
<p>Sorcerers usually have some knowledge about the time period they are
travelling to and use an Anchor, a landmark such as a bronze statue, that exists
in both the original and destination time period. If they are travelling blind
without such an Anchor, the casting roll is at -25%, and the effects of a
fumbled roll are even more catastrophic than the examples below suggest.</p>
<p>If the spell casting is failed, the caster and group still travel, but they
end up in the wrong location (1D10 Km away from the anchor point) and time (1D10
time units away, the length of the time unit depends on duration, e.g. if the
duration was in days, the time unit is days).</p> <p>If the spell casting is
fumbled, catastrophic events occur.  Here are some example events, the creative
Referee is encouraged to create more:</p> <p>A guardian creature from the Other
World emerges through the portal and attacks the sorcerer in an attempt to close
the portal.</p> <p>The sorcerer, and all within 10m of them, is sucked through
the portal which then promptly closes. The sorcerer is so befuddled that they
cannot remember the spell for D20+D4 hours.</p> <p>As above, but the sorcerer
and party arrive in a completely different Time Era or even an Alternative
Reality.</p> <p>Sorcerers with this spell can “change” time freely without
having to worry about unintentional “butterfly effect” changes or any
alterations in their own existence or memory from changing “their” past.
However, regular use risks the catastrophic effects of a fumble.</p>"
Treat Wounds,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Instant, Touch","<p>This spell must be cast upon a wounded character. It dramatically accelerates
the natural healing rate of the target.  For every point of magnitude of this
spell the caster can repair one hit point per combat round, for the duration of
the spell.</p> <p>The spell cast at magnitude 6 instantly heals mortal wounds,
bringing the character’s hit point total to one.</p> <p>This spell does not
treat disease or poison. See Remove Disease and Poison Antidote,
respectively.</p>"
